Product Line,Product Name,Condition,Number,Set,Rarity,Quantity,Main Photo URL,Set Release Date,SkuId,Order Quantity
"Magic","Counterspell","Lightly Played","25","Magic Game Night: Free-For-All","U","1","","10/14/2022 00:00:00","6645153","623394E9-0B3B61-50171:1"
"Magic","Vilis, Broker of Blood","Lightly Played","63","Magic Game Night: Free-For-All","R","1","","10/14/2022 00:00:00","6644943","623394E9-F7C55C-7C24B:1"
"Magic","Blasphemous Act","Lightly Played","124","Starter Commander Decks","R","1","","12/02/2022 00:00:00","6784224","623394E9-251C05-ACA02:1"
"Magic","Dictate of Heliod","Lightly Played","19","Starter Commander Decks","R","1","","12/02/2022 00:00:00","6776104","623394E9-B12F29-F1A15:1"
"Magic","Dredge the Mire","Lightly Played","76","Starter Commander Decks","R","1","","12/02/2022 00:00:00","6783824","623394E9-E80E10-49AE5:1"
"Magic","Felidar Retreat","Lightly Played","22","Starter Commander Decks","R","1","","12/02/2022 00:00:00","6776144","623394E9-8D38C3-F7507:1"
"Magic","Geode Rager","Lightly Played","144","Starter Commander Decks","R","1","","12/02/2022 00:00:00","6784464","623394E9-B12F29-F1A15:1"
"Magic","Mana Geyser","Lightly Played","151","Starter Commander Decks","C","1","","12/02/2022 00:00:00","6785544","623394E9-7CFA6B-442AA:1"
"Magic","Scourge of Valkas","Lightly Played","157","Starter Commander Decks","M","1","","12/02/2022 00:00:00","6781704","623394E9-6607AE-C75E0:1"
"Magic","Sol Ring","Lightly Played","276","Starter Commander Decks","U","5","","12/02/2022 00:00:00","6775424","623394E9-D46730-D0665:4 | 623394E9-DC28A7-B06F3:1"
"Magic","Soul Shatter","Lightly Played","108","Starter Commander Decks","R","1","","12/02/2022 00:00:00","6784144","623394E9-F7C55C-7C24B:1"
"Magic","Undermine","Lightly Played","254","Starter Commander Decks","R","1","","12/02/2022 00:00:00","6779424","623394E9-CD2EAF-BB492:1"
"Magic","Imaryll, Elfhame Elite","Lightly Played Foil","5","Magic Game Night: Free-For-All","M","1","","10/14/2022 00:00:00","5722627","623394E9-B2EC92-285BA:1"
"Magic","Maeve, Insidious Singer","Lightly Played Foil","2","Magic Game Night: Free-For-All","M","1","","10/14/2022 00:00:00","5722537","623394E9-F7C55C-7C24B:1"
"Magic","Nogi, Draco-Zealot","Lightly Played Foil","4","Magic Game Night: Free-For-All","M","1","","10/14/2022 00:00:00","5722597","623394E9-F7C55C-7C24B:1"
"Magic","Vogar, Necropolis Tyrant","Lightly Played Foil","3","Magic Game Night: Free-For-All","M","1","","10/14/2022 00:00:00","5722567","623394E9-F7C55C-7C24B:1"
"Flesh & Blood TCG","Endless Maw (Red)","Near Mint","LEV012","Blitz Deck: Monarch - Levia","Rare","1","","05/14/2021 00:00:00","4941981","623394E9-E64E38-276FD:1"
"Flesh & Blood TCG","Beast Within","Near Mint Unlimited Edition Normal","CRU007","Crucible of War","Majestic","1","","08/28/2020 00:00:00","5141519","623394E9-23CAFE-565FC:1"
"Flesh & Blood TCG","Gorganian Tome","Near Mint Unlimited Edition Normal","CRU181","Crucible of War","Majestic","1","","08/28/2020 00:00:00","5139913","623394E9-FF0985-43BB3:1"
"Flesh & Blood TCG","Glint the Quicksilver","Near Mint Unlimited Edition Normal","WTR118","Welcome to Rathe","Majestic","1","","10/11/2019 00:00:00","4638221","623394E9-FF0985-43BB3:1"
"Flesh & Blood TCG","Sink Below (Red)","Near Mint Unlimited Edition Normal","WTR215","Welcome to Rathe","Common","2","","10/11/2019 00:00:00","4638706","623394E9-FF0985-43BB3:2"
"Flesh & Blood TCG","Mask of Momentum","Near Mint Unlimited Edition Rainbow Foil","WTR079","Welcome to Rathe","Legendary","1","","10/11/2019 00:00:00","4671290","623394E9-3FFB1F-3CA57:1"
"Lorcana TCG","Bagheera - Guardian Jaguar","Near Mint","198/204","Archazia's Island","Legendary","1","","03/07/2025 00:00:00","8585104","623394E9-D097B6-1A875:1"
"Lorcana TCG","Minnie Mouse - Storyteller","Near Mint","31/204","Archazia's Island","Legendary","1","","03/07/2025 00:00:00","8584129","623394E9-E312C3-F02B3:1"
"Lorcana TCG","The Queen - Jealous Beauty","Near Mint","74/204","Archazia's Island","Legendary","1","","03/07/2025 00:00:00","8584344","623394E9-E80E10-49AE5:1"
"Lorcana TCG","Calhoun - Marine Sergeant","Near Mint","191/204","Azurite Sea","Rare","1","","11/15/2024 00:00:00","8345155","623394E9-306396-4A205:1"
"Lorcana TCG","Go Go Tomago - Darting Dynamo","Near Mint","73/204","Azurite Sea","Rare","1","","11/15/2024 00:00:00","8202359","623394E9-805EEF-0F0CC:1"
"Lorcana TCG","John Silver - Stern Captain","Near Mint","194/204","Azurite Sea","Legendary","1","","11/15/2024 00:00:00","8277353","623394E9-E312C3-F02B3:1"
